label,scenario,score
1,lq,0.9875448
1,lq,0.99965143
0,lq,0.017379766
1,lq,0.9806715
0,lq,0.7702454
0,lq,0.7378315
0,lq,0.6887721
0,lq,0.7101115
1,lq,0.97684777
1,lq,0.97660804
1,lq,0.9855341
0,lq,0.0013274843
0,lq,0.0015367849
0,lq,0.036922004
1,lq,0.9985933
1,lq,0.95733255
1,lq,0.99212784
1,lq,0.9960045
0,lq,0.05812661
0,lq,0.0008877009
1,lq,0.93165106
1,lq,0.9302663
1,lq,0.9804628
1,lq,0.8109617
1,lq,0.9708201
0,lq,0.8164861
1,lq,0.9718169
0,lq,0.016146576
1,lq,0.9139689
1,lq,0.8626114
1,lq,0.9728123
0,lq,0.5412385
1,lq,0.84434605
0,lq,0.23716164
0,lq,0.0017812098
0,lq,0.011238636
0,lq,0.10484468
0,lq,0.002264417
0,lq,0.14704242
0,lq,0.00071918825
1,lq,0.98218805
0,lq,0.4399922
0,lq,0.0004698522
1,lq,0.9257594
1,lq,0.9990522
1,lq,0.98531663
1,lq,0.9982003
0,lq,0.000235721
0,lq,0.6654979
0,lq,0.13371155
0,lq,0.0005354523
1,lq,0.9983444
0,lq,0.03100302
